Cliente_ID;Genero;Adulto_Mayor;Tiene_Pareja;Tiene_Dependientes;Antiguedad_Meses;Rango_Antiguedad;Servicio_Telefono;Multiples_Lineas;Servicio_Internet;Seguridad_Online;Respaldo_Online;Proteccion_Dispositivo;Soporte_Tecnico;Streaming_TV;Streaming_Peliculas;Tipo_Contrato;Facturacion_Papel;Metodo_Pago;Cargo_Mensual;Cargo_Total;Numero_Servicios;Ingreso_Riesgo;Estado_Churn;Churn
7590-VHVEG;Female;0;Yes;No;1;0-12 meses;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;29,85;29,85;1;0,00;Activo;0
5575-GNVDE;Male;0;No;No;34;25-48 meses;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check;56,95;1889,50;3;0,00;Activo;0
3668-QPYBK;Male;0;No;No;2;0-12 meses;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;53,85;108,15;3;53,85;Churn;1
7795-CFOCW;Male;0;No;No;45;25-48 meses;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Bank transfer (automatic);42,30;1840,75;3;0,00;Activo;0
9237-HQITU;Female;0;No;No;2;0-12 meses;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,70;151,65;1;70,70;Churn;1
9305-CDSKC;Female;0;No;No;8;0-12 meses;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,65;820,50;5;99,65;Churn;1
1452-KIOVK;Male;0;No;Yes;22;13-24 meses;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);89,10;1949,40;4;0,00;Activo;0
6713-OKOMC;Female;0;No;No;10;0-12 meses;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;29,75;301,90;1;0,00;Activo;0
7892-POOKP;Female;0;Yes;No;28;25-48 meses;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,80;3046,05;6;104,80;Churn;1
6388-TABGU;Male;0;No;Yes;62;49-72 meses;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic);56,15;3487,95;3;0,00;Activo;0
9763-GRSKD;Male;0;Yes;Yes;13;13-24 meses;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;49,95;587,45;2;0,00;Activo;0
7469-LKBCI;Male;0;No;No;16;13-24 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);18,95;326,80;1;0,00;Activo;0
8091-TTVAX;Male;0;Yes;No;58;49-72 meses;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);100,35;5681,10;5;0,00;Activo;0
0280-XJGEX;Male;0;No;No;49;49-72 meses;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103,70;5036,30;6;103,70;Churn;1
5129-JLPIS;Male;0;No;No;25;25-48 meses;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;105,50;2686,05;6;0,00;Activo;0
3655-SNQYZ;Female;0;Yes;Yes;69;49-72 meses;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);113,25;7895,15;8;0,00;Activo;0
8191-XWSZG;Female;0;No;No;52;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,65;1022,95;1;0,00;Activo;0
9959-WOFKT;Male;0;No;Yes;71;49-72 meses;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);106,70;7382,25;6;0,00;Activo;0
4190-MFLUW;Female;0;Yes;Yes;10;0-12 meses;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);55,20;528,35;3;55,20;Churn;1
4183-MYFRB;Female;0;No;No;21;13-24 meses;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;90,05;1862,90;4;0,00;Activo;0
8779-QRDMV;Male;1;No;No;1;0-12 meses;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;39,65;39,65;2;39,65;Churn;1
