Cliente_ID,Fecha_Inicio,Fecha_Fin,Tipo_Contrato,Facturacion_Papel,Metodo_Pago,Cargo_Mensual,Cargo_Total,Antiguedad_Dias,Antiguedad_Meses,Rango_Antiguedad,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Multiples_Lineas,Churn
7590-VHVEG,2020-01-01,No,Month-to-month,Yes,Electronic check,29.85,31.04,31,1,0-12 meses,Female,0,Yes,No,DSL,No,Yes,No,No,No,No,No service,0
5575-GNVDE,2017-04-01,No,One year,No,Mailed check,56.95,2071.84,1036,34,25-48 meses,Male,0,No,No,DSL,Yes,No,Yes,No,No,No,No,0
3668-QPYBK,2019-10-01,No,Month-to-month,Yes,Mailed check,53.85,226.17,123,4,0-12 meses,Male,0,No,No,DSL,Yes,Yes,No,No,No,No,No,0
7795-CFOCW,2016-05-01,No,One year,No,Bank transfer (automatic),42.3,1960.6,1371,45,25-48 meses,Male,0,No,No,DSL,Yes,No,Yes,Yes,No,No,No service,0
9237-HQITU,2019-09-01,No,Month-to-month,Yes,Electronic check,70.7,353.5,153,5,0-12 meses,Female,0,No,No,Fiber optic,No,No,No,No,No,No,No,0
9305-CDSKC,2019-03-01,No,Month-to-month,Yes,Electronic check,99.65,1150.96,337,11,0-12 meses,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0
1452-KIOVK,2018-04-01,No,Month-to-month,Yes,Credit card (automatic),89.1,2058.21,671,22,13-24 meses,Male,0,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,0
6713-OKOMC,2019-04-01,No,Month-to-month,No,Mailed check,29.75,300.48,306,10,0-12 meses,Female,0,No,No,DSL,Yes,No,No,No,No,No,No service,0
7892-POOKP,2017-07-01,No,Month-to-month,Yes,Electronic check,104.8,3573.68,945,31,25-48 meses,Female,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,0
6388-TABGU,2014-12-01,2017-05-01,One year,No,Bank transfer (automatic),56.15,1628.35,882,29,25-48 meses,Male,0,No,Yes,DSL,Yes,Yes,No,No,No,No,No,1
9763-GRSKD,2019-01-01,No,Month-to-month,Yes,Mailed check,49.95,649.35,396,13,13-24 meses,Male,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0
7469-LKBCI,2018-10-01,No,Two year,No,Credit card (automatic),18.95,312.3,488,16,13-24 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
8091-TTVAX,2015-04-01,No,One year,No,Credit card (automatic),100.35,6111.31,1767,58,49-72 meses,Male,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0
0280-XJGEX,2015-09-01,No,Month-to-month,Yes,Bank transfer (automatic),103.7,5496.1,1614,53,49-72 meses,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,0
5129-JLPIS,2018-01-01,No,Month-to-month,Yes,Electronic check,105.5,2637.5,761,25,25-48 meses,Male,0,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,0
3655-SNQYZ,2014-05-01,2016-03-01,Two year,No,Credit card (automatic),113.25,2491.5,670,22,13-24 meses,Female,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
8191-XWSZG,2015-10-01,No,One year,No,Mailed check,20.65,1106.01,1584,52,49-72 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
9959-WOFKT,2014-03-01,No,Two year,No,Bank transfer (automatic),106.7,8257.51,2163,71,49-72 meses,Male,0,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,0
4190-MFLUW,2019-01-01,No,Month-to-month,No,Credit card (automatic),55.2,789.36,396,13,13-24 meses,Female,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,0
4183-MYFRB,2018-05-01,No,Month-to-month,Yes,Electronic check,90.05,1891.05,641,21,13-24 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,0
8779-QRDMV,2019-11-01,No,Month-to-month,Yes,Electronic check,39.65,118.95,92,3,0-12 meses,Male,1,No,No,DSL,No,No,Yes,No,No,Yes,No service,0
1680-VDCWW,2019-02-01,No,One year,No,Bank transfer (automatic),19.8,237.6,365,12,0-12 meses,Male,0,Yes,No,No service,No service,No service,No service,No service,No service,No service,No,0
1066-JKSGK,2019-11-01,No,Month-to-month,No,Mailed check,20.15,61.05,92,3,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
3638-WEABW,2015-04-01,No,Two year,Yes,Credit card (automatic),59.9,3821.62,1767,58,49-72 meses,Female,0,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,0
6322-HRPFA,2016-01-01,No,Month-to-month,No,Credit card (automatic),59.6,3212.44,1492,49,49-72 meses,Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,0
6865-JZNKO,2017-08-01,2018-09-01,Month-to-month,Yes,Bank transfer (automatic),55.3,726.09,396,13,13-24 meses,Female,0,No,No,DSL,Yes,Yes,No,No,No,No,No,1
6467-CHFZW,2015-12-01,No,Month-to-month,Yes,Electronic check,99.35,5215.88,1523,50,49-72 meses,Male,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,0
8665-UTDHZ,2019-11-01,No,Month-to-month,No,Electronic check,30.2,96.04,92,3,0-12 meses,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,No service,0
5248-YGIJN,2014-02-01,No,Two year,Yes,Credit card (automatic),90.25,6498.0,2191,72,49-72 meses,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
8773-HHUOZ,2018-06-01,No,Month-to-month,Yes,Mailed check,64.7,1294.0,610,20,13-24 meses,Female,0,No,Yes,DSL,No,No,No,No,Yes,Yes,No,0
3841-NFECX,2014-03-01,2018-11-01,Two year,Yes,Credit card (automatic),96.35,5395.6,1706,56,49-72 meses,Female,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,1
4929-XIHVW,2019-12-01,No,Month-to-month,Yes,Credit card (automatic),95.5,194.82,62,2,0-12 meses,Male,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,0
6827-IEAUQ,2017-11-01,No,One year,No,Mailed check,66.15,1928.93,822,27,25-48 meses,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,0
7310-EGVHZ,2020-01-01,No,Month-to-month,No,Bank transfer (automatic),20.2,22.22,31,1,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
3413-BMNZE,2020-01-01,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,31,1,0-12 meses,Male,1,No,No,DSL,No,No,No,No,No,No,No,0
6234-RAAPL,2014-02-01,2018-12-01,Two year,No,Bank transfer (automatic),99.9,5794.2,1764,58,49-72 meses,Female,0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,1
6047-YHPVI,2019-06-01,No,Month-to-month,Yes,Electronic check,69.7,557.6,245,8,0-12 meses,Male,0,No,No,Fiber optic,No,No,No,No,No,No,No,0
6572-ADKRS,2016-04-01,No,Month-to-month,Yes,Credit card (automatic),74.8,3440.8,1401,46,25-48 meses,Female,0,No,No,Fiber optic,No,No,Yes,No,No,No,No,0
5380-WJKOV,2017-02-01,No,Month-to-month,Yes,Electronic check,106.35,4211.46,1095,36,25-48 meses,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,0
8168-UQWWF,2018-12-01,No,Month-to-month,Yes,Bank transfer (automatic),97.85,1369.9,427,14,13-24 meses,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0
8865-TNMNX,2019-04-01,No,One year,No,Mailed check,49.55,495.5,306,10,0-12 meses,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,No,0
9489-DEDVP,2014-04-01,2019-08-01,Two year,Yes,Credit card (automatic),69.2,4428.8,1948,64,49-72 meses,Female,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,1
9867-JCZSP,2018-09-01,No,One year,No,Mailed check,20.75,352.75,518,17,13-24 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
4671-VJLCL,2014-11-01,No,Two year,Yes,Credit card (automatic),79.85,5030.55,1918,63,49-72 meses,Female,0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,0
4080-IIARD,2019-01-01,No,Month-to-month,Yes,Electronic check,76.2,990.6,396,13,13-24 meses,Female,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,0
3714-NTNFO,2016-01-01,No,Month-to-month,Yes,Electronic check,84.5,4140.5,1492,49,49-72 meses,Female,0,No,No,Fiber optic,No,No,No,No,No,Yes,Yes,0
5948-UJZLF,2019-12-01,No,Month-to-month,No,Mailed check,49.25,98.5,62,2,0-12 meses,Male,0,No,No,DSL,No,Yes,No,No,No,No,No,0
7760-OYPDY,2019-11-01,No,Month-to-month,Yes,Electronic check,80.65,241.95,92,3,0-12 meses,Female,0,No,No,Fiber optic,No,No,No,No,Yes,No,No,0
7639-LIAYI,2015-10-01,No,Two year,Yes,Credit card (automatic),79.75,4395.82,1584,52,49-72 meses,Male,0,No,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,0
2954-PIBKO,2014-05-01,No,Two year,Yes,Credit card (automatic),64.15,4780.46,2102,69,49-72 meses,Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,0
8012-SOUDQ,2016-07-01,No,Month-to-month,Yes,Electronic check,90.25,3880.75,1310,43,25-48 meses,Female,1,No,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,0
9420-LOJKX,2018-09-01,No,Month-to-month,Yes,Credit card (automatic),99.1,1684.7,518,17,13-24 meses,Female,0,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,0
6575-SUVOI,2018-01-01,No,Month-to-month,Yes,Credit card (automatic),69.5,1807.0,761,25,25-48 meses,Female,1,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,0
7495-OOKFY,2019-03-01,No,Month-to-month,Yes,Credit card (automatic),80.65,887.15,337,11,0-12 meses,Female,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,0
4667-QONEA,2015-02-01,No,One year,Yes,Credit card (automatic),74.85,4491.0,1826,60,49-72 meses,Female,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,0
1658-BYGOY,2018-07-01,No,Month-to-month,Yes,Electronic check,95.45,1813.55,580,19,13-24 meses,Male,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,0
